1414 0 0 0 01982.06371.2 0                                                      
 GSFC 11/87 MODEL AT EPOCH 1982.  DEGREE (13,13).                               
 13  6     0.6744     1.0288     0.0193     0.3229     0.0000     0.0000        
 13  7    -0.6809     0.1945    -0.1173    -0.0212     0.0000     0.0000        
 13  8     0.1105    -0.1282     0.1467     0.0574     0.0000     0.0000        
 13  9    -0.4711     0.3316    -0.3719     0.1488     0.0000     0.0000        
 13 10    -0.1911    -0.5021     0.1375    -0.2455     0.0000     0.0000        
 13 11     0.2191    -1.4556     0.0463    -0.1220     0.0000     0.0000        
 13 12     1.9472     0.6833     0.6942     0.1590     0.0000     0.0000        
 13 13     0.0523     2.0151     0.0965     0.7863     0.0000     0.0000        
 14  1     0.4143     0.0000     0.3175     0.0000     0.0000     0.0000        
 14  2    -0.3699     0.0280     0.1178     0.2602     0.0000     0.0000        
 14  3    -0.0274    -0.0088    -0.1949    -0.1515     0.0000     0.0000        
 14  4    -0.8733     1.3198    -0.0001    -0.0803     0.0000     0.0000        
 14  5    -0.2504    -0.3198    -0.0304    -0.0471     0.0000     0.0000        
 14  6     1.5458     0.2393     0.2235     0.3691     0.0000     0.0000        
 14  7    -0.6274     0.1052    -0.0896     0.1612     0.0000     0.0000        
 14  8     0.7555     0.1729     0.1855    -0.3126     0.0000     0.0000        
 14  9    -0.0856    -0.5902     0.2039    -0.3145     0.0000     0.0000        
 14 10    -0.2904     0.9064    -0.2319     0.0196     0.0000     0.0000        
 14 11    -0.1085     0.8940    -0.0056     0.4201     0.0000     0.0000        
 14 12     0.6422    -0.0179     0.1364     0.0543     0.0000     0.0000        
 14 13     1.1159    -0.4104     0.5920    -0.3297     0.0000     0.0000        
 14 14     0.0681    -0.2388    -0.1386     0.0524     0.0000     0.0000        
  0  0                                                                          
  0  0                                                                          
